Petition Department,Petition Description,Status,
Women & Child Welfare,"There is a shortage of affordable and quality childcare facilities for working mothers, making it difficult for them to balance their professional and personal responsibilities. This discourages women's participation in the workforce.",Urgent,42
Education Department,"The use of corporal punishment in schools, despite legal prohibitions, instills fear in students and creates an atmosphere of abuse and mistrust.",Urgent,2152
Education Department,Teachers favoring specific students based on personal bias.,Urgent,921
Women & Child Welfare,Need for awareness programs on women's rights,Urgent,2536
Women & Child Welfare,"Women’s complaints regarding sexual harassment in public places are often dismissed as minor incidents, discouraging victims from speaking out.",Urgent,523
Education Department,Unregistered private schools operating without proper licensing.,Urgent,801
Education Department,"Frequent power outages disrupt online learning sessions, digital examinations, and critical classroom activities, severely impacting students’ academic progress and technological literacy.",Urgent,1484
Education Department,"Mandatory additional coaching sessions organized by schools during weekends impose extra academic pressure, reducing students’ leisure time and overall well-being.",Urgent,1644
Education Department,Poorly implemented midday meal scheme leading to food wastage.,Urgent,1197
Education Department,Teachers misusing authority by giving excessive homework and punishments.,Urgent,330
Education Department,Lack of ramps and inclusive facilities for differently-abled students.,Urgent,2253
Education Department,"There are inadequate special Education Department facilities for students with disabilities, making it difficult for them to access quality Education Department. Lack of trained special educators further aggravates the issue, leading to exclusion.",Urgent,103
Women & Child Welfare,Ensure strict action against hostel staff misconduct ,Urgent,920
Education Department,Outdated textbooks with inaccurate or irrelevant information.,Important,1918
Education Department,No student exchange programs with international schools.,Important,1723
Education Department,"Shortage of teachers, causing students to miss key subjects and suffer academically.",Urgent,1282
Women & Child Welfare,"Public spaces do not have enough safe waiting areas for women at bus stops, railway stations, and transit points.",Urgent,2186
Education Department,"Schools not issuing Transfer Certificates (TCs) on time, delaying admissions to new institutions.",Urgent,565
Education Department,No mentorship programs for academically weak students.,Important,327
Education Department,"Non-functional toilets in schools, causing hygiene issues and absenteeism, especially among female students.",Urgent,125
Education Department,Unsafe construction sites near schools posing risks to students.,Urgent,651
Education Department,Lack of proper infrastructure in schools,Urgent,1679
Education Department,Provide mental health support and counseling in hostels ,Important,2378
Education Department,Teachers not being trained in first-aid or emergency response.,Urgent,762
Education Department,Poor sanitation in school premises ,Important,287
Education Department,Improve daycare centers for working mothers,Urgent,783
Women & Child Welfare,"Many emergency helplines for women lack multilingual support, preventing non-native speakers from effectively reporting crimes or seeking help.",Urgent,62
Education Department,No proper recycling or waste disposal management in schools.,Urgent,1822
Education Department,"No access to proper libraries, affecting students' ability to enhance learning.",Urgent,1885
Women & Child Welfare,"Many schools in rural areas lack proper infrastructure, making it difficult for students to attend classes regularly. The Education Department must allocate funds for better facilities and learning environments.",Important,886
Education Department,Schools conducting extra classes on Sundays without students’ consent.,Urgent,169
Women & Child Welfare,"Unauthorized data leaks from apps and websites expose personal information, leading to stalking, digital harassment, and real-world security threats.",Urgent,899
Education Department,"Excessive homework and disproportionate disciplinary measures imposed by teachers contribute significantly to stress and burnout, severely affecting students’ mental well-being.",Urgent,1550
Women & Child Welfare,"Political and judicial bias in some cases prevents fair trials for women victims, allowing perpetrators to manipulate legal loopholes.",Urgent,989
Women & Child Welfare,Demand for setting up more helplines for women in distress.,Important,2190
Women & Child Welfare,Public policies do not focus enough on providing legal and financial assistance to women escaping abusive relationships.,Urgent,659
Women & Child Welfare,Lack of accessible emergency alarm systems in public spaces makes it difficult for women to alert authorities in times of danger.,Urgent,1681
Education Department,"Inadequate sports and physical Education Department opportunities, affecting students' overall development.",Urgent,2138
Education Department,Upgrade school libraries with latest books,Important,1600
Education Department,Need for digital learning resources in underprivileged schools.,Urgent,2042
Education Department,Poor collaboration between schools and local businesses for internships.,Important,1300
Education Department,Schools forcing students to attend additional coaching classes beyond school hours.,Urgent,1041
Women & Child Welfare,Domestic violence cases are underreported because victims fear social stigma and lack immediate access to protective shelters or legal assistance.,Urgent,1435
Women & Child Welfare,"Women experiencing abuse and trauma have limited access to mental health support, increasing the risk of depression, anxiety, and PTSD.",Urgent,1048
Education Department,"School staff exhibiting unprofessional behavior towards parents and students often dismiss their concerns, thereby eroding trust in the Education Departmental administration.",Urgent,2385
Women & Child Welfare,"Public toilets for women are poorly maintained or unavailable in many areas, forcing them to use unsafe and unhygienic facilities.",Urgent,505
Education Department,No annual book fairs or reading week programs.,Important,610
Education Department,Lack of environmental awareness campaigns in schools.,Important,220
Education Department,No emphasis on personality development and leadership skills.,Important,1687
Education Department,Insufficient digital Education Department materials being provided.,Important,883
Education Department,An overemphasis on theoretical knowledge at the expense of practical skills results in a lack of hands-on experiences critical for mastering scientific and technical subjects.,Important,1174
Education Department,"Poor drainage system around schools, leading to waterlogging in rainy seasons.",Urgent,1037
Education Department,"No psychological support system for students struggling with depression, anxiety, or academic pressure, leading to suicide cases.",Urgent,1406
Education Department,"No financial literacy Education Department in school curricula, leaving students unprepared for managing personal finances in the future.",Important,705
Education Department,Unregistered private schools operating without proper licensing.,Urgent,987
Women & Child Welfare,School authorities ignoring cases of ragging and bullying.,Urgent,432
Women & Child Welfare,"There is a rise in drug-facilitated crimes against women in clubs and social gatherings, with no strict security checks in place.",Urgent,547
Education Department,Insufficient computer lab facilities for students in technology-related courses.,Urgent,379
Education Department,Limited access to national and international academic competitions.,Important,2242
Education Department,"Lack of emphasis on coding and programming skills, putting students at a disadvantage in the technology-driven world.",Important,1129
Women & Child Welfare,"Child malnutrition is a persistent issue, particularly in rural areas, due to inadequate healthcare facilities and lack of awareness. Many children suffer from stunted growth, making them vulnerable to diseases and developmental delays.",Urgent,333
Women & Child Welfare,"Schools and colleges lack proper self-defense training programs for women, preventing them from being equipped to handle dangerous situations effectively.",Urgent,2283
Education Department,Schools not encouraging students to participate in community service.,Important,1513
Education Department,worst food provided in the hostel and worst maintenance in the environment ,Urgent,1565
Education Department,Lack of a transparent and efficient grievance redressal mechanism in schools prevents parents from effectively addressing issues related to student welfare and academic concerns.,Urgent,2152
Education Department,Frequent strikes by teachers affecting students' academic progress.,Urgent,1126
Education Department,Delay in scholarship distribution for students ,Important,650
Women & Child Welfare,"The misuse of AI technology, such as deepfake videos and image manipulation, is being used to blackmail women and ruin their reputations.",Urgent,2462
Education Department,Monitor hostel wardens to prevent misconduct ,Important,38
Women & Child Welfare,"Police officers often discourage women from filing FIRs for sexual harassment and stalking, leading to underreporting of serious crimes.",Urgent,1419
Education Department,Irregular mid-day meal distribution,Urgent,2011
Education Department,"Unavailability of safe internet access for research, exposing students to inappropriate content.",Urgent,1589
Education Department,Outdated textbooks containing inaccurate or irrelevant content hinder students’ ability to learn contemporary subjects and prepare for future academic challenges.,Important,309
Education Department,Lack of career guidance programs for students.,Important,2439
Education Department,In hostel  maintenance were not goods,Urgent,2506
Women & Child Welfare,Lack of women-only transport services in many cities increases cases of harassment and makes commuting uncomfortable and dangerous.,Urgent,975
Education Department,Shortage of female teachers in girls' schools affecting comfort and safety.,Urgent,2541
Education Department,School libraries with limited collections and outdated books hinder students’ ability to conduct in-depth research and explore subjects beyond the prescribed curriculum.,Important,1127
Education Department,High dropout rates among students,Urgent,514
Education Department,Lack of career guidance programs for students.,Important,838
Women & Child Welfare,"Cyber harassment cases, including online stalking, blackmail, and abuse, are rising, with little to no action taken against perpetrators.",Urgent,1785
Education Department,Frequent teacher absenteeism in schools ,Important,643
Education Department,No career fairs conducted in schools to help students explore job opportunities.,Important,874
Education Department,Teachers not using innovative teaching methods to make learning engaging.,Important,2117
Women & Child Welfare,"Lack of proper safety measures for women working night shifts, increasing risks of attacks, harassment, and unsafe transportation after work hours.",Urgent,735
Education Department,No verification process for guest lecturers or temporary teaching staff.,Urgent,1805
Education Department,"Inadequate waste management practices around school campuses create unhygienic conditions, attracting pests and increasing the likelihood of disease outbreaks among students.",Urgent,2316
Education Department,No emergency medical facilities in schools for accidents or illnesses.,Urgent,1838
Women & Child Welfare,"Many government-funded women’s safety initiatives lack proper funding, leading to ineffective implementation and poor safety infrastructure.",Urgent,1260
Education Department,"Insufficient funding for rural schools, leading to a complete lack of resources like books, electricity, and trained teachers.",Urgent,537
Education Department,Schools conducting extra classes on Sundays without students’ consent.,Urgent,795
Women & Child Welfare,"Community safety initiatives do not involve enough participation from local citizens, making it difficult to ensure a secure environment for women.",Urgent,467
Women & Child Welfare,"Child labor cases continue to rise due to poverty and lack of awareness. Many children are forced into hazardous work instead of attending school, which deprives them of Education Department and future opportunities.",Urgent,438
Education Department,No focus on practical business or entrepreneurship training.,Important,589
Education Department,Complaints about outdated syllabus not aligning with job market demands.,Important,129
Education Department,No collaboration with external organizations for student development programs.,Important,1595
Education Department,Lack of mandatory life skills Education Department in schools.,Important,252
Women & Child Welfare,"Public awareness campaigns about women’s safety are insufficient, leaving many individuals unaware of legal rights and protection measures.",Urgent,1289
Education Department,"Teachers are often using outdated methods and curricula, which fail to engage students, limit creative thinking, and do not prepare them for modern challenges.",Urgent,1691
Women & Child Welfare,"Women working in informal sectors like domestic work, street vending, and manual labor often face unreported harassment and exploitation due to lack of legal protection.",Urgent,2301
Education Department,Frequent power cuts disrupting digital learning sessions and online exams.,Urgent,982
Education Department,No clear policy to handle cyberbullying cases among students.,Urgent,1443
Education Department,Insufficient funding for upgrading libraries with new books.,Important,2328
Education Department,"Limited foreign language learning opportunities, restricting students' career options in global markets.",Important,294
Education Department,No Education Departmental competitions to encourage academic excellence.,Important,253
Education Department,Lack of structured programs for personality development and leadership training deprives students of opportunities to build confidence and essential life skills.,Important,139
Women & Child Welfare,Provide separate and secure hostel facilities for female students ,Urgent,1765
Education Department,"Overloaded school transport, increasing risks of accidents.",Urgent,2397
Education Department,Frequent teacher absenteeism in schools ,Important,840
Education Department,"School authorities refusing to take action against teachers showing favoritism in grading, causing unfair academic disadvantages to students.",Urgent,695
Education Department,Teachers not utilizing innovative and engaging teaching methodologies result in monotonous classroom experiences that fail to capture students’ interest and stimulate critical thinking.,Important,1992
Education Department,"Poor student-teacher ratio, reducing individual attention.",Urgent,2077
Education Department,"Most government schools lack digital learning facilities, such as computers and internet access, making it difficult for students to acquire modern skills. This creates a gap between urban and rural Education Department systems.",Important,420
Education Department,"There is a severe shortage of qualified teachers in government schools, leading to an imbalanced teacher-to-student ratio. Many subjects are not taught properly, impacting students' learning outcomes and future prospects.",Important,285
Education Department,"No regular health check-ups for students, leading to unnoticed medical conditions affecting their learning ability and well-being.",Urgent,1088
Women & Child Welfare,Many laws related to women’s safety are outdated and fail to address modern threats such as digital harassment and AI-driven exploitation.,Urgent,1616
Women & Child Welfare,"Authorities fail to take strict action against repeat offenders of domestic violence, putting women at continuous risk of harm.",Urgent,2578
Women & Child Welfare,"Educational institutions do not provide adequate awareness about consent, personal boundaries, and sexual safety, leading to widespread misconceptions and unsafe environments.",Urgent,915
Women & Child Welfare,Insufficient maternity benefits for working women.,Important,391
Education Department,Schools manipulating marks in internal assessments for favoritism.,Urgent,1231
Education Department,No Education Departmental competitions to encourage academic excellence.,Important,1379
Education Department,Parents not allowed to raise grievances effectively due to lack of complaint mechanisms.,Urgent,265
Education Department,Expand vocational training for young mothers,Urgent,2510
Education Department,Private schools increasing fees without transparency or justification.,Urgent,65
Education Department,Teachers not utilizing innovative and engaging teaching methodologies result in monotonous classroom experiences that fail to capture students’ interest and stimulate critical thinking.,Important,150
Education Department,"Many students drop out of school due to financial constraints, lack of guidance, and poor quality of Education Department. Without intervention, this increases child labor and affects their long-term career prospects.",Important,864
Education Department,Students are harmed by the insects around the hostel,Urgent,443
Women & Child Welfare,Domestic violence cases unaddressed,Urgent,837
Education Department,"Delayed disbursement of scholarships and financial aids disrupts students’ academic journeys, particularly affecting those from underprivileged backgrounds who rely on these supports.",Urgent,188
Education Department,Lack of awareness regarding scholarships and government support programs.,Important,1670
Education Department,Delay in distribution of school textbooks and uniforms.,Urgent,1418
Education Department,Schools failing to incorporate environmental Education Department and sustainability initiatives miss crucial opportunities to instill responsible values and ecological awareness in students.,Important,1504
Education Department,No encouragement for students to pursue competitive exams.,Important,1741
Women & Child Welfare,Need for stricter laws against domestic violence.,Urgent,2258
Women & Child Welfare,"Absence of an anti-ragging policy, making new students vulnerable to harassment and mental trauma.",Urgent,1894
Women & Child Welfare,Ensure proper sanitary facilities in schools,Urgent,1665
Education Department,Schools forcing students to buy additional costly study materials.,Urgent,903
Education Department,Implement self-defense training for school girls,Urgent,2273
Education Department,In the hostel has more mosquito ,Urgent,265
Education Department,"Schools conducting extra exams without prior notification, causing unnecessary stress and affecting students' preparation schedules.",Urgent,766
Education Department,Absence of leadership training programs for students.,Important,1567
Education Department,"Teachers discriminating based on caste, gender, or economic background.",Urgent,1601
Education Department,"No psychological support system for students struggling with depression, anxiety, or academic pressure, leading to suicide cases.",Urgent,1624
Education Department,"Lack of security cameras in key areas, increasing cases of theft, bullying, and other criminal activities in schools.",Urgent,2566
,,,700
Education Department,No entrepreneurship development training for interested students.,Important,1445
Education Department,"Lack of separate toilets for boys and girls, causing discomfort and hygiene issues.",Urgent,16
Education Department,Insufficient digital Education Department materials and online resources limit students’ access to diverse learning platforms and reduce opportunities for self-paced study.,Important,862
Education Department,There is a growing number of cases of domestic violence and child abuse in our community. The Women & Child Welfare department must establish stronger support systems and legal protections.,Urgent,1793
Education Department,"Schools using corporal punishment despite legal restrictions, causing fear among students.",Urgent,2174
Education Department,Schools not organizing alumni networking events.,Important,1045
Education Department,Frequent internet disruptions in smart classrooms affecting digital learning.,Urgent,2145
Education Department,"Delay in syllabus completion, forcing students to rush exam preparation.",Urgent,1628
Women & Child Welfare,"Many families discourage women from reporting sexual crimes due to societal shame, leaving perpetrators unpunished and victims without justice.",Urgent,1287
Education Department,No proper communication between schools and parents about students' progress.,Urgent,710
Women & Child Welfare,Monitor teachers to prevent student harassment cases ,Urgent,896
Education Department,No proper exposure to rural students regarding global Education Department trends.,Important,1771
Education Department,"Unavailability of trained counselors, leaving students with mental health issues unaddressed.",Urgent,1963
Education Department,Lack of regular and transparent communication between school authorities and parents regarding student progress creates misunderstandings and undermines collaborative efforts to improve Education Department quality.,Urgent,737
Education Department,School authorities failing to take action against complaints of discrimination.,Urgent,2148
Education Department,"Delayed distribution of textbooks and essential learning materials disrupts students’ study routines, negatively affecting performance and causing considerable stress among parents and educators.",Urgent,2222
Education Department,Schools not organizing alumni networking events.,Important,876
Education Department,No systematic aptitude test preparations being provided.,Important,2483
Women & Child Welfare,Implement strict rules to prevent teacher misconduct ,Urgent,1420
Education Department,Inadequate digital learning facilities,Urgent,1084
Education Department,"Frequent teacher absenteeism, leading to syllabus delays and poor academic performance.",Urgent,2567
Women & Child Welfare,Request for fast-tracking cases related to crimes against women.,Important,1325
Women & Child Welfare,"Inadequate safety measures at bus stops, railway stations, and metro areas make commuting unsafe for women, especially during late hours.",Urgent,2416
Women & Child Welfare,"There is a lack of clear safety guidelines for women working in freelance or gig economy jobs, making them vulnerable to exploitation.",Urgent,318
Women & Child Welfare,"Many mobile safety apps fail to function properly in emergencies, leaving women without reliable digital support when needed.",Urgent,608
Education Department,Excessive student workload without sufficient breaks leading to burnout.,Urgent,1119
Education Department,"No emphasis on disaster management training, making students unaware of how to handle earthquakes, fires, or other emergencies.",Important,1029
Education Department,No proper air conditioning or heating facilities in extreme weather conditions.,Urgent,1363
Education Department,No background checks for newly appointed teachers and staff.,Urgent,1560
Education Department,Harsh disciplinary measures leading to psychological distress in students.,Urgent,482
Education Department,Lack of inter-school competitions and exposure programs limits students’ opportunities to engage in diverse learning experiences and benchmark their academic performance.,Important,895
Education Department,"Unavailability of trained counselors, leaving students with mental health issues unaddressed.",Urgent,2316
Women & Child Welfare,"Women in shared accommodations and hostels face safety risks due to poor security measures, making them vulnerable to harassment and assault.",Urgent,1523
Education Department,Shortage of female teachers in girls' schools affecting comfort and safety.,Urgent,97
Education Department,"Incidents of sexual harassment by certain school staff members remain unaddressed, instilling fear and undermining the overall trust in Education Departmental institutions among students.",Urgent,1296
Women & Child Welfare,Lack of dedicated safe zones or emergency response points in urban areas makes it difficult for women to find immediate assistance.,Urgent,1402
Education Department,No initiatives to promote inclusivity and diversity in schools.,Important,758
Education Department,Teachers using abusive language and harsh criticism in class have been reported to significantly diminish students’ self-esteem and academic motivation.,Urgent,10
Education Department,No industry visits or practical exposure for students.,Important,2304
Education Department,Malpractice in board examinations where students pay bribes to obtain higher marks in final results.,Urgent,16
Education Department,No access to scholarships for deserving students due to procedural delays.,Urgent,1714
Women & Child Welfare,"Women suffering from acid attacks often do not receive proper medical support, legal assistance, or long-term rehabilitation facilities.",Urgent,944
Women & Child Welfare,Inadequate tracking of missing women and human trafficking cases results in thousands of victims disappearing without effective investigations.,Urgent,2531
Education Department,Lack of extracurricular activities for skill development beyond academics.,Important,739
Education Department,Lack of special Education Department facilities,Important,1749
Education Department,Lack of coding and AI-related subjects in school curriculum.,Important,769
Education Department,Schools conducting unnecessary fund collections from students.,Urgent,1141
Education Department,"Overcrowded and poorly maintained school transport vehicles compromise student safety, as improper seating arrangements and lack of supervision increase accident risks.",Urgent,1748
Education Department,Limited interaction between students from different socio-economic backgrounds.,Important,1703
Women & Child Welfare,Increase in cases of child malnutrition ,Urgent,1308
Education Department,"Schools charging hidden fees under miscellaneous costs, making Education Department unaffordable for low-income families.",Urgent,2284
Education Department,Schools making extracurricular activities compulsory with additional fees.,Urgent,2518
Women & Child Welfare,"There is a lack of clear safety guidelines for women working in freelance or gig economy jobs, making them vulnerable to exploitation.",Urgent,1150
Education Department,"Inadequate classroom ventilation and insufficient natural lighting severely disrupt students’ concentration, cause eye strain, and ultimately impair academic performance over time.",Urgent,270
Women & Child Welfare,"Many schools in rural areas lack proper infrastructure, making it difficult for students to attend classes regularly. The Education Department must allocate funds for better facilities and learning environments.",Important,2584
Education Department,"Overloaded school transport, increasing risks of accidents.",Urgent,620
Education Department,No exposure to advanced subjects like robotics or space science.,Important,1017
Women & Child Welfare,There is no strict action against those spreading fake news and threats targeting women on social media platforms.,Urgent,1363
Education Department,There was no good infrastructure in the college and Maintenance of every block was uncleaned,Important,2424
Education Department,"Unhygienic hostels with improper sanitation, leading to serious health risks, infections, and discomfort for residential students.",Urgent,546
Education Department,"Most government schools lack digital learning facilities, such as computers and internet access, making it difficult for students to acquire modern skills. This creates a gap between urban and rural Education Department systems.",Important,12
Women & Child Welfare,Improve security in women's hostels to prevent harassment ,Urgent,730
Women & Child Welfare,"Many women are unaware of their legal rights regarding safety, workplace harassment, and domestic violence due to lack of awareness programs.",Urgent,120
Education Department,Shortage of qualified teachers in government schools ,Urgent,239
Education Department,"No provision of first-aid facilities, leaving students helpless in emergencies.",Urgent,415
Education Department,Non-availability of sanitary napkin dispensers in girls' schools.,Urgent,1687
Women & Child Welfare,"Schools and colleges do not provide enough Education Department on consent, personal safety, and legal rights, leaving students unaware of their protections.",Urgent,2496
Education Department,"Heavy school bags causing physical strain and back problems for students, violating recommended weight limits by health experts.",Urgent,139
Education Department,No ethical hacking awareness courses for students.,Important,985
Education Department,"Teachers discriminating based on caste, gender, or economic background.",Urgent,2204
Education Department,"Delay in issuing essential Transfer Certificates (TCs) causes significant setbacks in student admissions to new institutions, affecting their academic continuity and future opportunities.",Urgent,471
Education Department,"Schools discriminating against LGBTQ+ students, leading to increased bullying and mental distress.",Urgent,148
Women & Child Welfare,Need for better access to sanitary products for underprivileged women ,Important,2467
Education Department,Teachers favoring specific students based on personal bias.,Urgent,146
Women & Child Welfare,"Poor street lighting in residential and commercial areas makes it unsafe for women to walk alone at night, increasing harassment risks.",Urgent,1337
Education Department,"Mandatory additional coaching sessions organized by schools during weekends impose extra academic pressure, reducing students’ leisure time and overall well-being.",Urgent,818
Education Department,"Poor ventilation and lighting in classrooms, affecting students' concentration and health.",Urgent,704
Education Department,Ensure working CCTV cameras in hostel premises for safety ,Important,659
Women & Child Welfare,Lack of female-friendly shelters for homeless women puts them at a higher risk of assault and exploitation on the streets.,Urgent,418
Education Department,No provision for backup electricity during exams.,Urgent,265
Education Department,"Students face delays in scholarship disbursements due to administrative inefficiencies, preventing them from affording Education Department expenses. Many deserving students are forced to drop out due to a lack of timely financial aid.",Important,382
Education Department,Students being overburdened with practical assignments without sufficient resources.,Urgent,615
Education Department,"No policy for emotional intelligence development programs, affecting students' ability to handle stress and peer pressure.",Important,62
Women & Child Welfare,No proper grievance redressal system for students facing harassment.,Urgent,1499
Education Department,No clear guidelines on how to handle cases of missing students.,Urgent,1880
Education Department,Insufficient scholarships for economically weaker students.,Urgent,1799
Education Department,"No emphasis on disaster management training, making students unaware of how to handle earthquakes, fires, or other emergencies.",Important,2395
Education Department,"School authorities often fail to take prompt and decisive action against reported discrimination cases, thereby fostering an environment of injustice and inequality.",Urgent,2218
Women & Child Welfare,Ensure strict action against hostel staff misconduct ,Urgent,639
Education Department,Lack of a transparent and efficient grievance redressal mechanism in schools prevents parents from effectively addressing issues related to student welfare and academic concerns.,Urgent,2217
Women & Child Welfare,"Insufficient legal protections exist for women facing harassment at religious and cultural events, where large crowds create anonymity for offenders.",Urgent,1663
Women & Child Welfare,"There is a shortage of affordable and quality childcare facilities for working mothers, making it difficult for them to balance their professional and personal responsibilities. This discourages women's participation in the workforce.",Urgent,1959
Education Department,Teachers unfairly deducting marks without valid reasons.,Urgent,1472
Education Department,Limited access to national and international academic competitions.,Important,2385
Education Department,No coding bootcamps or robotics clubs available.,Important,1117
Education Department,Outdated safety measures in school laboratories leading to accidents.,Urgent,1770
Education Department,Insufficient career awareness programs for students.,Important,647
Women & Child Welfare,"Absence of an anti-ragging policy, making new students vulnerable to harassment and mental trauma.",Urgent,258
Education Department,Lack of well-stocked libraries with updated resources significantly hampers students’ ability to engage in self-directed learning and academic research critically.,Urgent,2212
Women & Child Welfare,"Many women do not receive immediate medical and psychological aid after incidents of violence or harassment, worsening their physical and mental trauma.",Urgent,1624
Education Department,"Poor quality and unhygienic mid-day meals in schools contribute to malnutrition and health issues, particularly among economically disadvantaged students requiring proper nutrition.",Urgent,1181
Women & Child Welfare,"Sexual offenders often go unpunished due to lack of evidence or witnesses, discouraging women from filing complaints in the future.",Urgent,186
Education Department,Lack of inter-school competitions and exposure programs.,Important,1640
Women & Child Welfare,"Safe houses for domestic abuse survivors are limited, making it difficult for victims to escape abusive environments and start over.",Urgent,875
Education Department,Unavailability of foreign language learning options.,Important,1497
Education Department,Unavailability of transport for students living in remote areas.,Urgent,1478
Education Department,"Mismanagement of scholarship funds, preventing eligible students from receiving financial aid for their studies and affecting their academic progress.",Urgent,633
Women & Child Welfare,Malnutrition among children in rural areas,Urgent,2019
Women & Child Welfare,Request for better safety measures for women in public spaces.,Urgent,531
Education Department,"Last-minute scheduling of exams and academic assessments causes significant stress among students, leaving them with insufficient time for adequate exam preparation.",Urgent,1663
Women & Child Welfare,Increase financial aid for single mothers,Urgent,1823
Education Department,No gender sensitization programs for students.,Important,1024
Education Department,"Lack of functional science laboratories severely limits practical learning opportunities, hindering students from developing essential experimental skills and scientific inquiry abilities.",Urgent,480
Education Department,"Government schools not receiving funds on time, delaying development projects.",Urgent,2120
Education Department,"Online learning platforms and digital resources offered by schools are often unreliable and poorly maintained, leading to disrupted learning experiences and exam preparation challenges.",Urgent,54
Women & Child Welfare,Lack of women-only transport services in many cities increases cases of harassment and makes commuting uncomfortable and dangerous.,Urgent,1349
Education Department,"Poor ventilation and lighting in classrooms, affecting students' concentration and health.",Urgent,2124
Women & Child Welfare,Demand for more working women hostels in urban areas.,Urgent,1420
,,,1284
Women & Child Welfare,"Unsafe work environments in the entertainment industry expose women to harassment, discrimination, and exploitation without strong legal protection.",Urgent,2092
Women & Child Welfare,No proper grievance redressal system for students facing harassment.,Urgent,687
Education Department,Management was not listening to the queries of students for pro-longed period of time,Urgent,2108
Education Department,"No access to proper libraries, affecting students' ability to enhance learning.",Urgent,447
Education Department,High dropout rates due to unaffordable school fees and lack of financial assistance for underprivileged students.,Urgent,638
Education Department,Schools imposing fines on students for minor mistakes unnecessarily.,Urgent,126
Education Department,No access to basic business and marketing Education Department.,Important,162
Education Department,"Exam invigilators being untrained, leading to unfair examination conditions.",Urgent,949
Education Department,Limited internship and work-based learning opportunities for senior students hamper their ability to gain practical experience and better prepare for future careers.,Important,1853
Education Department,No opportunities for students to publish creative writing or research work.,Important,638
Education Department,"Non-functional and unhygienic toilet facilities in schools expose students to health risks, impacting attendance and causing widespread discomfort among both genders.",Urgent,2359
Women & Child Welfare,"Public washrooms in many areas are unsafe, poorly maintained, and lack security, increasing the risk of crimes against women.",Urgent,1358
Women & Child Welfare,"There is inadequate police patrolling in areas known for frequent harassment cases, leaving women vulnerable, especially during late hours.",Urgent,390
Education Department,No proper feedback mechanisms for students regarding teaching quality.,Important,1950
Women & Child Welfare,Lack of awareness programs on women's health and hygiene.,Important,653
Education Department,No industry visits or practical exposure for students.,Important,1104
Education Department,"School staff exhibiting unprofessional behavior towards parents and students often dismiss their concerns, thereby eroding trust in the Education Departmental administration.",Urgent,1907
Education Department,No proper exposure to rural students regarding global Education Department trends.,Important,1494
Education Department,Few opportunities to participate in national and international Olympiads restrict the intellectual growth and competitive spirit necessary for excelling in various academic disciplines.,Important,397
Education Department,"Absence of emergency drills for fire, earthquakes, or other disasters.",Urgent,374
Education Department,"Lack of proper monitoring in hostels, leading to cases of harassment and bullying.",Urgent,2435
Education Department,Poor lighting in classrooms leading to eye strain and long-term vision problems for students.,Urgent,1034
Women & Child Welfare,"Insufficient number of female police officers in stations, making it difficult for women to report crimes due to discomfort and fear of judgment.",Urgent,1918
Women & Child Welfare,"Absence of panic buttons and emergency alert systems in public transport, preventing women from seeking immediate help when facing harassment.",Urgent,888
